833758612558_1846.png,441965561693_1725.png
580603230479_1203.png,201278064785_2959.png
0,0
772464628825_100.png,769934621273_668.png
1,1
230198735753_2793.png,530401421847_108.png
0,0
542303957272_224.png,153997884672_1070.png
1,1
978703721907_97.png,569564616579_987.png
0,0
762364345542_649.png,907228772365_43.png
0,0
344187221533_334.png,876605209594_143.png
0,0
557109937516_1.png,853040181788_307.png
0,1
827815819578_40.png,878817751717_2398.png
0,0
668120264286_277.png,983864438456_1107.png
1,0
647941843547_14.png,567126263045_2948.png
1,1
491234786761_53.png,110127687078_71.png
0,0
643145055832_2471.png,541482539540_1887.png
1,0
20893814_139.png,541482539540_1886.png
0,0
415342646631_1237.png,114063065323_142.png
0,0
662256656405_957.png,971260117691_3358.png
1,0
341879820152_1334.png,482762469446_64.png
0,1
863531088592_1983.png,806441778992_9.png
0,1
350515010423_1709.png,754476975700_1470.png
0,0
879048693273_2865.png,898658265661_2267.png
1,1
301001229493_1283.png,869115312126_189.png
0,1
20173997_49.png,328383413827_1240.png
1,1
292440917698_130.png,601060412790_2798.png
1,1
850683220727_1487.png,400374571272_3370.png
1,0
806441778992_10.png,442056477685_1.png
1,0
421782183057_30.png,769934621273_664.png
1,1
790333570729_1549.png,329860385253_2912.png
1,0
250933581187_1916.png,157231660722_31.png
1,0
756193734104_2687.png,516903642985_688.png
0,1
329860385253_2910.png,281023090144_256.png
1,1
500196950894_96.png,961071200808_3232.png
0,0
169699058066_39.png,572941325457_2518.png
0,1
795591049648_267.png,569604171620_2784.png
0,1
572780943183_5.png,454100457730_1784.png
0,1
597447767582_122.png,9804276_109.png
0,0
276926469642_1827.png,581755274906_39.png
1,0
652052303828_2908.png,20468406_157.png
0,1
795591049648_265.png,588580090970_122.png
0,0
575714258591_70.png,517415344776_118.png
0,0
722332376999_1187.png,581755274906_40.png
0,0
447100595252_2089.png,912157481181_114.png
1,1
830006002974_94.png,391770830740_2324.png
1,1
360288162685_1018.png,591373229101_76.png
1,0
309028234302_2002.png,20542610_134.png
0,1
156730228020_2447.png,171508978812_2584.png
0,1
441479186242_8.png,357128673349_3.png
0,1
191188233735_17.png,684890268247_144.png
1,1
569342624383_167.png,735199605803_2916.png
1,0
804013020642_2199.png,8656858_5.png
0,0
647941843547_22.png,700764525013_93.png
1,0
341879820152_1335.png,259600879178_2894.png
1,1
164538165078_1753.png,526144458885_828.png
0,0
531928112209_1266.png,379555453762_65.png
1,1
830006002974_100.png,822391204248_206.png
0,1
144591231555_418.png,222887373246_1588.png
0,0
535466506327_131.png,272436316261_1853.png
0,0
786413222075_33.png,597207371659_109.png
0,0
324635941511_17.png,648225933494_60.png
1,0
313675177473_251.png,139140132763_1178.png
0,0
936883194737_42.png,462067576773_23.png
0,0
433427026502_1874.png,592824419888_93.png
0,1
244178787963_1475.png,845460608431_167.png
0,1
702127501295_324.png,684967759363_54.png
0,1
871528272684_93.png,224232821293_930.png
0,1
756355607099_127.png,971938447531_1777.png
1,1
411679433818_2049.png,306941746786_188.png
1,0
963601964408_692.png,528621184354_158.png
1,1
837897497551_74.png,636039780441_2037.png
0,1
866555907562_127.png,183382284445_801.png
0,1
344187221533_335.png,218892005299_84.png
1,1
989301179886_132.png,898658265661_2273.png
1,0
20888686_105.png,339789166411_1910.png
0,1
598670540185_451.png,391770830740_2322.png
1,1
309397802062_1246.png,428865883429_498.png
0,0
286294882001_1352.png,968135190296_130.png
1,0
351145406253_93.png,266529855899_918.png
0,0
129310496531_1628.png,510830284257_10.png
0,1
266651287467_47.png,205632569213_421.png
1,0
908101084595_279.png,867700620757_131.png
0,1
647941843547_11.png,171345000283_296.png
1,1
482469995080_438.png,512330606828_1609.png
1,1
311745615952_151.png,500196950894_95.png
0,0
830006002974_92.png,20888686_103.png
0,0
617511544000_9.png,771755593977_90.png
0,1
732693011003_427.png,834628108050_2144.png
1,0
581870205469_316.png,20771639_120.png
0,0
918436554868_49.png,603998649632_328.png
1,0
20231935_32.png,244178787963_1476.png
0,1
980153621042_2499.png,153997884672_1072.png
1,0
854498104500_1064.png,769424588318_58.png
1,0
581481452790_120.png,161125882564_1816.png
0,0
215645397812_2734.png,795591049648_264.png
0,0
238397622807_32.png,603428684392_2291.png
1,0
330311999274_113.png,553544565405_227.png
1,1
553544565405_229.png,201592389934_2175.png
0,0
309397802062_1248.png,517415344776_121.png
1,0
940604480310_28.png,567636695398_115.png
0,0
634091100218_1452.png,845251645064_188.png
1,1
594143428478_289.png,897061081395_1594.png
1,1
324850484710_1933.png,184021114566_48.png
0,0
221706668578_2608.png,634265300478_1824.png
1,0
840899031174_771.png,473965308949_3092.png
0,1
686140780341_2942.png,442773420858_483.png
0,1
961071200808_3223.png,973135147805_71.png
1,1
877754489250_71.png,428865883429_490.png
0,1
518447889244_19.png,480998180201_272.png
0,1
898866563085_759.png,869392597644_98.png
1,0
898664434323_1502.png,155078775959_2574.png
1,1
548968293415_2.png,203648378218_5.png
0,0
734926636965_1439.png,143540761549_150.png
1,0
856138543579_653.png,473071149707_159.png
0,0
599431527328_748.png,426037419766_3318.png
1,0
134725566968_234.png,939100495686_48.png
0,1
941286169198_981.png,492178354810_1730.png
0,0
381063331361_292.png,764846353705_1348.png
1,1
756355607099_126.png,647149214300_1883.png
1,0
181445865271_1681.png,261193544340_16.png
1,1
339935510253_4.png,684326306545_25.png
1,1
608312735265_2356.png,518447889244_10.png
0,0
325793007955_126.png,744225940112_1128.png
1,0
833464100971_1308.png,477141480369_140.png
1,0
339646503062_1096.png,619942281317_3113.png
0,0
541648992826_856.png,615529777889_124.png
1,1
253890261988_3425.png,279878187518_171.png
1,1
208909374603_2157.png,777867537121_1518.png
1,0
0276764_14.png,141529117306_13.png
0,0
840899031174_5.png,516903642985_1.png
0,1
612071010178_45.png,134857633495_106.png
0,1
731268103769_41.png,469609984352_2725.png
0,0
867195298851_126.png,986309829856_1684.png
1,0
570251628395_138.png,749916506950_1563.png
1,0
879735465785_1376.png,175211279793_289.png
0,1
321613791338_2579.png,973143343630_1291.png
1,1
247789242980_2102.png,772464628825_113.png
1,1
227305977443_2997.png,0276764_18.png
1,0
536175927161_100.png,724445992126_149.png
1,0
799972986370_93.png,244188263704_1867.png
1,0
795286449183_2984.png,399299293346_2130.png
0,1
376833210607_34.png,961071200808_3231.png
1,0
135066140048_1041.png,626818028761_1720.png
0,0
918436554868_48.png,477141480369_142.png
1,0
940604480310_26.png,569564616579_985.png
0,1
156730228020_2448.png,251404070836_994.png
0,1
570703933924_78.png,851417396256_3293.png
0,0
20888686_93.png,269304202222_178.png
1,1
726715479643_2386.png,243228090267_2646.png
0,0
410781938578_2005.png,142868313709_29.png
1,0
20231935_25.png,502663928209_2755.png
0,1
341945525892_2372.png,8227493_79.png
0,1
325793007955_135.png,366976161360_2562.png
1,1
569342624383_165.png,477141480369_146.png
1,0
277097367851_1761.png,850342750744_61.png
0,1
944532912472_341.png,214100871597_142.png
1,1
699718011265_107.png,401373802702_2122.png
1,0
786413222075_29.png,433427026502_1875.png
1,0
603998649632_58.png,320087203654_191.png
0,0
732693011003_426.png,987270537640_13.png
1,0
769424588318_57.png,221848840747_1413.png
0,0
319131717377_2298.png,697786732711_146.png
1,0
771755593977_91.png,751053679365_3187.png
1,1
150505388600_3042.png,111750232888_2591.png
0,0
473965308949_3094.png,684967759363_42.png
0,1
325793007955_129.png,795591049648_268.png
1,0
431624046811_1405.png,547427900316_42.png
0,1
963601964408_693.png,843317803744_18.png
1,0
946359335090_2690.png,358869696106_159.png
0,0
497124911632_59.png,224232821293_932.png
1,1
876372164601_116.png,265009415921_818.png
1,0
703240347751_2196.png,441479186242_11.png
1,0
482469995080_439.png,496596803522_1944.png
1,1
192038485634_366.png,495723171561_2339.png
1,1
764489767837_214.png,367860040198_123.png
0,1
190265964103_2622.png,687213345044_466.png
1,0
557120600555_3435.png,762950326504_8.png
0,0
764489767837_206.png,613321508442_38.png
0,0
840899031174_37.png,774613350297_5.png
0,1
191188233735_237.png,339646503062_1100.png
1,0
681471053061_3194.png,222887373246_1774.png
0,1
813763499017_3341.png,340236082375_2318.png
0,0
567636695398_118.png,954618460788_829.png
0,0
890792899153_1209.png,545148790793_2663.png
1,1
676520420957_3044.png,834628108050_2143.png
1,0
762136824222_36.png,186912634869_181.png
0,1
220291766822_2936.png,971963215218_51.png
0,0
321613791338_2460.png,572780943183_6.png
1,0
898180345455_42.png,266529855899_915.png
1,0
632176330243_28.png,668917039223_18.png
0,0
581481452790_117.png,915197523364_2.png
0,0
839815003379_3012.png,871528272684_99.png
0,0
424579269065_2354.png,815039630398_1905.png
1,0
355342477162_1417.png,812847568199_175.png
0,1
110139824912_1901.png,570703933924_70.png
1,0
684967759363_40.png,686267017254_191.png
0,0
973143343630_1289.png,774832131387_3428.png
1,1
333597054971_624.png,980979740184_3408.png
1,0
699258933158_1795.png,744306592463_298.png
1,1
267413376830_3199.png,488707726286_1652.png
1,1
338104589906_1026.png,222887373246_1772.png
0,1
722658384845_171.png,297428009405_3086.png
0,0
277688914398_27.png,840899031174_3.png
1,0
135066140048_1039.png,652052303828_2906.png
0,0
138404699949_452.png,570703933924_76.png
1,0
714050116409_1141.png,272436316261_1857.png
1,0
20792677_3.png,710898793562_2389.png
0,1
830900328597_21.png,381649034044_2138.png
0,0
982081740037_41.png,632183899940_3449.png
1,0
664039527911_3323.png,772464628825_108.png
0,0
941256842175_2276.png,427086310202_81.png
0,0
261193544340_18.png,922561829745_2187.png
1,1
769934621273_671.png,939252353563_5.png
0,0
650645930241_3390.png,207256513125_64.png
1,0
191660144955_118.png,789225496091_3003.png
0,0
341699893375_948.png,903855560837_1403.png
1,1
634259143132_2705.png,170064571500_971.png
1,0
941286169198_979.png,515517336093_632.png
1,0
840899031174_1.png,156500534530_2071.png
0,1
341699893375_951.png,795591049648_263.png
1,0
293155920880_2150.png,260661289703_2977.png
1,1
230827303909_552.png,192038485634_352.png
1,1
640522012504_6.png,409723635264_900.png
0,1
772464628825_107.png,754934479265_2.png
1,1
192038485634_360.png,911796017464_2194.png
1,1
462067576773_25.png,554262680369_3421.png
0,1
954618460788_846.png,356562198334_938.png
0,0
686140780341_2945.png,680369393932_2019.png
0,1
980979740184_3405.png,871528272684_95.png
0,1
462773174622_1601.png,8716792_44.png
0,0
862601632735_1159.png,400962117135_3077.png
0,1
250218676911_245.png,815820074872_310.png
0,1
928247865326_99.png,965568090725_3123.png
0,0
218892005299_91.png,851076606084_107.png
0,0
598642801114_2109.png,185392684814_1423.png
0,1
843802609684_74.png,366976161360_2558.png
1,0
321620696770_3265.png,526144458885_821.png
0,0
146120362309_2237.png,161125882564_1815.png
0,1
952808847239_177.png,703304027166_2094.png
1,1
632880317927_243.png,20173997_46.png
1,1
851076606084_112.png,274833361680_192.png
0,0
940782747470_2736.png,424579269065_2349.png
0,1
171878542801_1671.png,496596803522_1382.png
0,0
396747729633_3444.png,169699058066_37.png
1,1
372488616104_808.png,207256513125_61.png
0,0
130424682833_2971.png,339646503062_1095.png
1,0
721681836521_1000.png,684326306545_26.png
1,1
379555453762_61.png,570703933924_82.png
1,0
681628403600_51.png,253890261988_3422.png
1,1
778790172204_6.png,847089636805_312.png
0,0
799972986370_95.png,910665251338_1654.png
0,1
350515010423_1715.png,911622016693_2485.png
1,0
647941843547_20.png,899610610820_159.png
1,0
130424682833_2972.png,927234591692_117.png
1,1
412668267498_1127.png,632176330243_22.png
1,0
706694617314_522.png,741989903094_102.png
1,0
835410387742_181.png,335339677415_7.png
0,1
428865883429_493.png,426881446006_2.png
0,0
400276825286_2419.png,789881292442_2536.png
1,0
8716792_38.png,138404699949_456.png
1,0
721681836521_1003.png,895330138296_613.png
1,0
123613744267_23.png,110127687078_68.png
1,1
993023278923_65.png,762364345542_639.png
1,1
203770963556_78.png,700576207532_173.png
0,1
660859665101_188.png,326243507183_121.png
0,1
851417396256_3297.png,704665240735_1675.png
0,0
575843704935_64.png,812253877562_3238.png
0,0
151995884228_598.png,367860040198_122.png
1,1
20173997_60.png,141504964851_2061.png
0,0
363896865046_68.png,473071149707_160.png
0,0
796394556929_178.png,266529855899_920.png
0,1
851417396256_3292.png,699718011265_103.png
0,0
201278064785_2964.png,747873860561_2927.png
0,0
8121904_160.png,646714740433_169.png
1,1
863531088592_1986.png,796419105428_2425.png
0,1
662256656405_965.png,244178787963_1478.png
1,0
251253048215_2364.png,894878185645_153.png
1,1
782295982929_150.png,941368575462_166.png
1,0
848409680140_75.png,709126837809_793.png
1,1
734926636965_1436.png,662256656405_954.png
0,0
850280855417_2045.png,417672106667_101.png
1,0
944491708292_151.png,845251645064_187.png
1,0
276926469642_1828.png,700764525013_89.png
1,1
446978283584_2548.png,325793007955_136.png
1,1
396747729633_3440.png,799972986370_91.png
0,1
737333136333_1804.png,806550376609_87.png
1,1
843777652566_17.png,843777652566_8.png
1,0
412444974010_3206.png,310754155803_1546.png
1,1
554262680369_3420.png,591373229101_72.png
0,1
609859592068_6.png,890075468153_2847.png
1,0
609433833704_1645.png,572923171092_174.png
0,1
844172586900_1630.png,130424682833_2974.png
0,1
896921453972_617.png,299338889758_58.png
1,0
845460608431_24.png,536175927161_102.png
1,0
700576207532_170.png,446978283584_2546.png
0,0
986841043042_100.png,845460608431_21.png
0,1
358869696106_161.png,235543228049_2082.png
0,1
338098363409_1.png,192038485634_357.png
1,0
261193544340_24.png,731759686059_1408.png
0,0
700576207532_178.png,395285139039_866.png
0,1
591373229101_70.png,979751560834_144.png
1,1
192038485634_364.png,339646503062_1104.png
1,0
347250513021_15.png,918436554868_47.png
1,1
980979740184_3406.png,208909374603_1968.png
0,0
699932963082_22.png,700576207532_174.png
0,0
524493080166_49.png,20894991_68.png
0,0
20173997_55.png,20888686_102.png
1,1
575843704935_66.png,837973529377_132.png
1,0
323718368678_1573.png,247758945333_81.png
1,1
156500534530_2070.png,192038485634_356.png
1,0
319131717377_29.png,608312735265_2357.png
0,0
777328818359_38.png,897774934161_1204.png
1,1
782295982929_149.png,146611670930_2105.png
1,0
880229708072_31.png,910046767030_3342.png
1,0
586722864857_3383.png,982081740037_46.png
1,1
224232821293_924.png,783084567907_52.png
1,0
118023725904_401.png,574481118830_106.png
1,1
684967759363_44.png,762364345542_647.png
1,0
554448876390_104.png,638114318716_23.png
0,1
495459131965_0.png,534653494805_5.png
0,0
736490462094_1212.png,618656729933_33.png
0,0
400374571272_3369.png,367131157003_1035.png
1,0
710321393154_1567.png,980979740184_3401.png
1,1
581481452790_118.png,453251923703_2968.png
0,0
120492556458_197.png,795591049648_262.png
0,0
899610610820_148.png,333696793755_472.png
0,1
135066140048_1038.png,208993281228_1992.png
0,1
603261081528_2166.png,827815819578_32.png
1,0
827815819578_37.png,391770830740_2330.png
0,0
548968293415_0.png,979751560834_134.png
0,1
700764525013_84.png,129703732691_159.png
0,1
277097367851_1758.png,8724335_141.png
1,1
487854762842_193.png,363535100000_80.png
0,1
777701977765_588.png,196579177702_128.png
1,0
114229708040_57.png,488707726286_1649.png
1,1
462067576773_30.png,922581919491_108.png
0,1
184021114566_44.png,995380950350_92.png
0,0
917686824203_2051.png,623894832825_1295.png
1,0
306685686762_103.png,272365977423_3064.png
0,1
971260117691_127.png,273962940407_1458.png
0,1
586267437069_1927.png,542663356526_295.png
0,0
702127501295_322.png,483141243470_323.png
0,0
375457147240_200.png,106843512319_1505.png
0,1
342767181671_1747.png,309920533181_575.png
1,1
570703933924_64.png,123503000883_60.png
0,0
703470222290_2642.png,207804182921_77.png
0,0
580603230479_1202.png,277688914398_28.png
0,1
439795913123_28.png,970889238163_0.png
0,1
566915168161_2593.png,391770830740_2325.png
1,1
310754155803_1545.png,372317161336_708.png
0,0
309397802062_1249.png,840899031174_765.png
0,1
368687466498_8.png,156730228020_2450.png
1,0
751899309064_2659.png,751899309064_2657.png
0,0
986309829856_1686.png,941286169198_982.png
1,0
700764525013_86.png,301001229493_1281.png
0,0
469021085230_98.png,20884796_116.png
0,0
545138167149_2505.png,20771639_121.png
1,0
567126263045_2947.png,752435468830_132.png
1,0
936221543208_82.png,277097367851_1759.png
0,1
261193544340_113.png,582417532446_89.png
1,0
252479070064_2925.png,155078775959_2573.png
1,0
653669371226_116.png,367131157003_1034.png
0,1
764136673032_2613.png,350515010423_1703.png
1,0
360540058580_17.png,917220567415_1045.png
0,1
634780601459_49.png,907228772365_44.png
1,1
946622835311_1262.png,350515010423_1717.png
1,0
762364345542_648.png,185441296082_390.png
1,0
553544565405_230.png,588734250938_519.png
0,1
221706668578_2607.png,760777201120_2434.png
0,0
811644526596_2256.png,866716061848_111.png
0,1
655789237577_2633.png,503461938638_194.png
0,0
561873268864_81.png,915197523364_146.png
0,1
838619642114_2407.png,296996730720_1970.png
0,1
772257400932_92.png,922649730766_1744.png
1,0
777439655201_331.png,497402889915_1958.png
0,0
488075588697_53.png,192038485634_365.png
1,1
890792899153_1208.png,635845865944_1229.png
1,1
676560825504_158.png,898664434323_1497.png
0,0
571977142117_634.png,400374571272_3359.png
0,1
993023278923_53.png,474941678320_1432.png
1,0
843802609684_76.png,259600879178_2895.png
0,1
239923575981_1367.png,594143428478_287.png
1,1
853169089595_21.png,961071200808_3230.png
1,0
152687048857_47.png,979751560834_139.png
1,1
421782183057_31.png,143540761549_158.png
1,0
279209614633_2765.png,271471459435_1792.png
1,1
462067576773_29.png,408793028990_2162.png
0,0
703304027166_2093.png,173249862011_446.png
1,1
123503000883_63.png,742541144001_3273.png
0,0
474941678320_1434.png,207141736369_192.png
0,0
785355609848_33.png,325411649790_109.png
1,0
612071010178_46.png,894878185645_152.png
1,0
323718368678_1571.png,221706668578_2605.png
1,0
293155920880_2148.png,558653260090_180.png
1,0
540103354752_44.png,503315403688_123.png
0,0
856138543579_652.png,795356671931_208.png
1,1
752435468830_136.png,818209273153_1011.png
0,1
717677480240_48.png,545138167149_2502.png
0,1
941336779550_2233.png,613321508442_37.png
0,0
973245394143_32.png,776358794089_585.png
0,0
266529855899_909.png,764136673032_2616.png
0,0
802193197096_1663.png,857117777464_3089.png
1,0
764136673032_2618.png,534653494805_4.png
1,0
597207371659_105.png,493027181785_2225.png
0,1
931652532880_1157.png,894411925086_1341.png
1,1
621924378094_2680.png,731295040273_60.png
0,0
699121420070_269.png,496596803522_1945.png
1,1
702127501295_54.png,422632851956_3186.png
0,1
940604480310_27.png,103730423524_28.png
1,0
722332376999_1191.png,239923575981_1366.png
0,0
613321508442_40.png,391770830740_2320.png
0,1
119743082698_154.png,309002729427_1831.png
0,1
506792671517_142.png,948513430201_189.png
0,0
575714258591_72.png,764696884251_55.png
0,0
544301488486_9.png,355022318208_117.png
1,1
598642801114_2107.png,632176330243_27.png
1,0
216173032764_3139.png,389151849702_697.png
0,1
219178145041_16.png,985714726449_126.png
1,1
965568090725_3120.png,702127501295_55.png
0,0
123503000883_62.png,963948789550_49.png
0,1
203770963556_79.png,799972986370_90.png
0,1
548782197976_14.png,866698375193_330.png
0,1
770190729912_101.png,279209614633_2769.png
0,0
211549634779_148.png,963601964408_690.png
0,1
950465767867_1785.png,20114761_149.png
1,0
341945525892_2373.png,219680787252_11.png
1,1
993023278923_51.png,908101084595_282.png
0,1
251404070836_993.png,306685686762_104.png
1,0
606074246541_2096.png,923182232670_2158.png
1,1
791124267528_66.png,877754489250_68.png
1,1
865215561161_135.png,547106939214_3109.png
0,0
227305977443_2998.png,789881292442_2539.png
1,0
771869260131_49.png,816683005238_274.png
0,0
647941843547_25.png,612071010178_47.png
1,1
731512182701_119.png,545395986954_240.png
1,1
821488567130_150.png,203648378218_15.png
1,1
929289050279_184.png,282249551204_59.png
0,0
611338952756_1077.png,192038485634_359.png
0,1
241322097402_1466.png,625760656257_2176.png
1,1
624611278533_0.png,492178354810_1733.png
1,0
286185392131_1779.png,918436554868_50.png
1,1
430375075311_2816.png,795591049648_256.png
1,0
599121621956_16.png,207804182921_80.png
0,0
749400156974_120.png,752357193168_2213.png
1,1
593013934724_99.png,654209085758_3284.png
1,0
695659670916_3098.png,359522436834_660.png
0,0
20114761_150.png,347250513021_13.png
1,1
778608133606_0.png,495459131965_4.png
0,0
20780106_75.png,285450585444_52.png
1,1
917220567415_1044.png,582306562750_36.png
1,0
568389822410_1171.png,561873268864_80.png
0,0
279209614633_2772.png,843317803744_20.png
0,0
144888865820_2699.png,306685686762_102.png
0,0
779137129779_1790.png,708459194896_69.png
1,0
761729783486_345.png,526144458885_827.png
1,0
908101084595_280.png,663772022816_156.png
0,1
850280855417_2042.png,534269415875_65.png
0,0
822920534021_139.png,600846229594_155.png
1,1
867700620757_136.png,301001229493_1280.png
1,0
481498484700_82.png,428481414740_2890.png
0,0
181171210413_147.png,339789166411_1912.png
0,0
663772022816_14.png,795286449183_2983.png
1,0
941874142539_97.png,549733273277_56.png
1,0
169699058066_38.png,503315403688_124.png
0,0
433990712859_287.png,339867820516_2879.png
0,0
417672106667_100.png,118626059540_700.png
0,1
971260117691_128.png,851076606084_110.png
0,0
520840067292_2780.png,244178787963_1483.png
1,1
143418361871_3214.png,696491302835_14.png
0,0
124308190412_1800.png,347241142472_1543.png
0,1
542303957272_223.png,993023278923_63.png
1,1
785244433539_2744.png,640522012504_7.png
1,0
8227493_81.png,845460608431_20.png
0,1
680369393932_2021.png,806550376609_84.png
1,1
172217303294_724.png,203648378218_23.png
0,0
223896984826_265.png,961071200808_3224.png
1,1
482469995080_436.png,279175507830_27.png
1,1
685905945391_106.png,380320255927_778.png
1,1
321613791338_2461.png,342767181671_1749.png
1,0
298625370592_1949.png,681471053061_3190.png
1,0
520940938051_2565.png,777867537121_1519.png
1,0
769424588318_60.png,795591049648_270.png
0,1
918839061832_33.png,462067576773_19.png
1,1
395285139039_867.png,987691550170_266.png
1,0
428865883429_501.png,899610610820_160.png
0,0
336609577270_1888.png,464599977359_2750.png
0,1
521333053131_73.png,754476975700_1468.png
0,1
139140132763_1179.png,688113789876_180.png
0,1
400374571272_3366.png,428865883429_491.png
0,1
985714726449_111.png,597447767582_119.png
1,1
802193197096_1661.png,422051845654_889.png
1,1
731199455561_131.png,544032867760_132.png
1,1
985714726449_125.png,213656012133_2136.png
1,0
481498484700_81.png,316093686012_2819.png
